job_idx,cv_col,score_a,score_b,judge_score,reasoning,delta_a,delta_b,closer_system
0,cv_1,85,53,55,"The candidate has relevant skills in Python, SQL, and data pipeline automation, but lacks explicit experience with PyTorch, Scikit-learn, and AI model development required for the role. Their focus on Power BI and reporting aligns partially with dashboard creation but misses core machine learning requirements.",30.0,2.0,B
0,cv_2,20,35,35,"The candidate has software engineering experience with web technologies (Angular, ReactJS) but lacks explicit Python, SQL, and AI/ML tool (PyTorch, Scikit-learn) proficiency required for the data science role. The CV mentions general programming skills but no direct alignment with data pipeline or analytical model development.",15.0,0.0,B
0,cv_3,40,37,50,"The candidate has a strong engineering background and cloud expertise, but lacks explicit mention of critical data science tools like Python, PyTorch, or Scikit-learn required for the role. Their skills partially align with infrastructure aspects but miss core AI/ML requirements.",10.0,13.0,A
0,cv_4,20,52,20,"The candidate's profile is focused on frontend development (React/NodeJS) with no mention of Python, SQL, or machine learning frameworks required for the Data Science role. While they have 11 years of experience, the technical skills and project scope do not align with the job's core requirements.",0.0,32.0,A
0,cv_5,85,39,70,"The candidate has strong experience in machine learning, deep learning, and relevant tools like PyTorch and Scikit-learn, aligning well with the technical requirements. However, there is no explicit mention of SQL proficiency, which is a key requirement in the job description, and limited evidence of collaboration with business teams. The absence of SQL creates a notable gap despite other strengths.",15.0,31.0,A
1,cv_1,85,55,75,"The candidate has 3+ years of ML experience with Python and NLP, aligning with core requirements. However, the CV lacks explicit mention of TensorFlow/PyTorch (critical stack components) and data pipeline development. Their focus on biomedical AI and NLP may not fully match the job's emphasis on general ML model deployment and prediction performance optimization.",10.0,20.0,A
1,cv_2,85,30,50,"The candidate has relevant ML engineering experience and NLP skills, but the CV lacks explicit mentions of critical requirements like TensorFlow/PyTorch, data pipeline development, and model monitoring. The TCS role aligns partially with the job's mission, but key technical stack components are missing.",35.0,20.0,B
1,cv_3,85,37,55,"The candidate has relevant data engineering and machine learning experience, including Python and data pipeline tools like Airflow. However, the job requires specific deep learning frameworks (TensorFlow/PyTorch) which are not mentioned in the CV. The lack of explicit experience with model deployment and monitoring also creates a gap in alignment.",30.0,18.0,B
1,cv_4,20,43,35,"The candidate has strong full-stack web development experience but lacks explicit machine learning/deep learning expertise required for the role. While Python proficiency is present, critical ML frameworks like TensorFlow/PyTorch and data pipeline experience are missing from the CV.",15.0,8.0,B
1,cv_5,20,26,18,"The candidate is a senior mobile/web developer with no mention of machine learning, deep learning frameworks (TensorFlow/PyTorch), or data pipeline experience required for the role. Their technical stack focuses on front-end development (Angular, JavaScript) rather than the Python-centric ML stack specified in the job description.",2.0,8.0,A
10,cv_1,85,52,50,"The candidate has relevant data analysis experience and Python/SQL skills, but lacks explicit mention of R/SAS and machine learning model development required in the job. The CV emphasizes Power BI and Azure over the specified tech stack (NumPy, Scikit-learn), and while data pipeline experience is present, the econometrics/statistics focus is missing. Partial match with key requirements unmet.",35.0,2.0,B
10,cv_2,80,49,50,"The candidate has relevant Python and machine learning experience, but lacks explicit econometrics/statistical modeling expertise emphasized in the job. The CV focuses on computer vision and GANs rather than the data pipeline and explanatory model-building required. No mention of R/SAS proficiency or business presentation skills.",30.0,1.0,B
10,cv_3,20,33,50,"The candidate has a relevant engineering background and cloud/DevOps expertise, but lacks explicit mention of data science tools (Python/R/SAS), machine learning libraries (Scikit-learn), and statistical modeling experience required for the role. The CV emphasizes infrastructure over data analysis, meeting only partial requirements.",30.0,17.0,B
10,cv_4,20,28,18,"The candidate's profile focuses on robotics, product design, and mechanical engineering, with no mention of data science, econometrics, or relevant technical skills (Python/R/SAS, machine learning libraries). The job requires statistical analysis and predictive modeling expertise, which are entirely absent from the CV.",2.0,10.0,A
10,cv_5,20,32,0,"The candidate's profile is entirely focused on mobile/web development (Angular, Node.js, HTML/CSS) with no mention of data science, econometrics, or statistical modeling skills. There is zero overlap with the required technical stack (Python, R, SAS, Scikit-learn) or analytical competencies specified in the job description.",20.0,32.0,A
