job_idx,cv_col,label,score,label_checked,justification,model,generated_at
0,cv_1,MATCH,85,MATCH,"Le candidat possède une expérience significative en Data Analyst, avec des compétences fortes en Power BI, Python, SQL, Azure Data Factory et Dynamics 365 Project Operations. Il a également travaillé dans des environnements Agile et a collaboré avec des équipes métiers pour traduire les besoins en solutions de données actionnables. Bien que le CV ne mentionne pas explicitement l'expérience en Intelligence Artificielle, il a obtenu un certificat en Intelligence Artificielle et a travaillé sur des projets impliquant l'analyse de données et la création de dashboards interactifs. Cependant, il manque encore à l'expérience du candidat en Data Science et en Intelligence Artificielle, qui sont des compétences clés requises pour le poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:51:47.846855
0,cv_2,NO MATCH,20,NO MATCH,"Le candidat a des compétences en développement web (Angular, NextJS, ReactJS, PHP) mais pas en Data Science et Intelligence Artificielle. Il a également des expériences en développement d'applications web et en conception de tableaux de bord, mais pas en analyse de données et en prise de décision éclairée. Il a une formation en génie informatique et génie logiciel, mais pas en Data Science ou Intelligence Artificielle.",meta/llama-3.1-8b-instruct,2026-05-05T11:51:50.364882
0,cv_3,NO MATCH,40,NO MATCH,"Le candidat a une expérience en administration d'environnements virtualisés et en DevOps, mais il n'a pas d'expérience directe en Data Science et Intelligence Artificielle. Il maîtrise Python, mais il n'a pas mentionné d'expérience avec des outils tels que PyTorch, Scikit-learn, Pandas et NumPy qui sont nécessaires pour ce poste. De plus, il n'a pas de certification en Data Science ou un diplôme dans un domaine connexe.",meta/llama-3.1-8b-instruct,2026-05-05T11:51:54.646606
0,cv_4,NO MATCH,20,NO MATCH,"Le candidat a une expérience en développement front-end avec React/NodeJS, mais pas en Data Science et Intelligence Artificielle. Il a également des compétences en NodeJS, TypeScript, React et Tailwind CSS, mais pas en Python, SQL, IA, Data Science, PyTorch, Scikit-learn, Pandas, NumPy, Grafana, Tableau, PowerBI, Kafka, PostgreSQL, PL/SQL, Oracle et Excel. Il a également des expériences en qualité assurance et en développement de logiciels, mais pas en Data Science et Intelligence Artificielle.",meta/llama-3.1-8b-instruct,2026-05-05T11:51:59.893043
0,cv_5,MATCH,85,MATCH,"Le candidat a une expérience en machine learning et en deep learning, ce qui correspond à la demande d'expérience en IA et Data Science. Il a également travaillé sur des projets liés à la classification et à l'analyse de données, ce qui est pertinent pour le poste. Cependant, il n'a pas d'expérience directe en Data Science et en Intelligence Artificielle, mais il a une formation en ingénierie des systèmes et des réseaux, ce qui pourrait être utile pour comprendre les aspects techniques du poste. Il est également important de noter que le candidat a une expérience en DevOps, ce qui pourrait être utile pour comprendre les aspects de gestion de projet et de développement du poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:07.295699
1,cv_1,MATCH,85,MATCH,"Le candidat a une expérience de 3+ ans en tant qu'ingénieur en machine learning, ce qui correspond à la demande de l'entreprise. Il a également une bonne connaissance des algorithmes de machine learning et des architectures de deep learning, ainsi que des compétences techniques requises telles que Python, TensorFlow, PyTorch, Pandas, NumPy et Scikit-learn. De plus, il a une expérience en tant qu'ingénieur de recherche en IA, ce qui correspond à la mission passionnante pour un Machine Learning Engineer chez une entreprise de technologie. Cependant, il n'y a pas de mention spécifique de la connaissance de Git, Docker et Kubernetes dans le CV, ce qui est mentionné dans la demande d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:11.859828
1,cv_2,MATCH,85,MATCH,"Le candidat a une expérience en tant que Machine Learning Engineer chez TCS, ce qui correspond à la fonction souhaitée. Il a également suivi des formations et des certifications en machine learning, notamment l'Amazon ML Summer School et la certification Google Cloud Fundamentals: Core Infrastructure. Ses compétences techniques incluent Python, SQL, NLP et des connaissances en matière de données et de machine learning, ce qui correspond aux compétences requises pour le poste. Cependant, il n'a pas d'expérience directe avec TensorFlow, PyTorch et les bibliothèques telles que Pandas, NumPy et Scikit-learn, qui sont mentionnées dans l'offre d'emploi. Il est cependant possible que ces compétences puissent être acquises rapidement.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:16.390813
1,cv_3,MATCH,85,MATCH,"Le candidat a une expérience significative en machine learning, en particulier dans le développement de modèles de prédiction et d'image translation. Les compétences techniques requises pour l'offre d'emploi, telles que Python, TensorFlow, PyTorch, Pandas, NumPy et Scikit-learn, sont également présentes dans le CV. De plus, le candidat a une expérience en développement de pipelines de données et en intégration de modèles de machine learning dans des applications existantes. Cependant, il manque une expérience directe dans l'utilisation de TensorFlow et PyTorch, ainsi que dans la mise en place de méthodes de monitoring pour évaluer les performances des modèles. Enfin, le candidat a une forte motivation pour apprendre et innover, ce qui correspond aux softskills attendus par l'entreprise.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:25.173099
1,cv_4,NO MATCH,20,NO MATCH,"Le candidat a une expérience en développement full-stack avec des compétences en React, Node.js et TypeScript, mais il n'a pas d'expérience en machine learning ou en deep learning. De plus, le CV ne mentionne pas les compétences en Python, TensorFlow, PyTorch, Pandas, NumPy et Scikit-learn requises pour le poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:27.254210
1,cv_5,NO MATCH,20,NO MATCH,"Le candidat a une expérience importante en développement mobile et web, mais pas en machine learning. Il a des compétences en Python, mais pas dans le contexte de machine learning. Il a également des connaissances en données et en algorithmes, mais pas dans le contexte de deep learning. Les compétences techniques requises pour ce poste incluent une maîtrise de Python, des connaissances en matière de données et de machine learning, ainsi que des connaissances en architectures de deep learning. Le candidat n'a pas mentionné ces compétences dans son CV.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:31.988951
