job_idx,cv_col,score_a,score_b,judge_score,reasoning,delta_a,delta_b,closer_system
0,cv_1,88,50,50,"The candidate has relevant skills in Python, SQL, and data pipeline automation, but lacks explicit experience with PyTorch, Scikit-learn, and AI model development mentioned in the job description. Their focus on Power BI and reporting aligns partially with dashboard creation requirements, but core AI/ML tool proficiency is missing.",38.0,0.0,B
0,cv_2,65,35,50,"The candidate has software engineering experience but lacks explicit Python, SQL, and AI/ML tool (PyTorch, Scikit-learn) proficiency required for the Data Science role. General tech skills like Angular/ReactJS are present but not aligned with the job's core requirements.",15.0,15.0,tie
0,cv_4,65,21,30,"The candidate has 11 years of frontend development experience with React/NodeJS and relevant certifications, but lacks explicit Python, SQL, and data science/AI framework (PyTorch, Scikit-learn, Pandas) experience required for the role. While general software development skills are present, the core data science technical stack is missing.",35.0,9.0,B
0,cv_5,88,51,70,"The candidate has strong experience in machine learning and deep learning (PyTorch, Scikit-learn) with relevant projects in geometric deep learning. However, the CV lacks explicit mention of SQL and data pipeline development, which are critical requirements in the job description. The absence of dashboard creation and explicit collaboration with business teams also weakens the match.",18.0,19.0,A
1,cv_3,75,46,70,"The candidate has strong data engineering and machine learning experience with Python, image segmentation, and tensor optimization, aligning with pipeline development needs. However, the job emphasizes deep learning frameworks (TensorFlow/PyTorch) which are not explicitly mentioned in the CV, creating a partial mismatch.",5.0,24.0,A
1,cv_4,65,27,50,"The candidate has strong full-stack web development experience but lacks explicit machine learning/deep learning expertise required by the job. While they have Python experience, there's no mention of TensorFlow/PyTorch or data pipeline development for ML models.",15.0,23.0,A
1,cv_5,65,30,45,"The candidate has strong web/mobile development experience but lacks explicit machine learning/deep learning expertise required (TensorFlow/PyTorch, model deployment). Some cloud experience (Azure/AWS) is relevant, but core ML skills and data pipeline experience are missing.",20.0,15.0,B
2,cv_1,75,34,50,"The candidate has relevant front-end skills (Angular, React) and some backend experience (Express), but lacks key technologies explicitly required in the job description (PHP, Java, Python, Spring, Symfony, MySQL, MongoDB). The two years of experience align partially with the 'expérimenté' requirement, but critical backend framework/database gaps reduce the match score.",25.0,16.0,B
2,cv_2,78,55,55,"The candidate has backend development experience with Python and Go, aligning partially with the job's backend requirements. However, the CV lacks explicit mention of required full-stack technologies like HTML/CSS, PHP, Java, Spring/Symfony, or Angular. DevOps and cloud-native skills are emphasized but not central to this full-stack developer role. Database experience is implied but not confirmed.",23.0,0.0,B
2,cv_3,88,52,55,"The candidate has strong Python and back-end development experience with Django/FastAPI, aligning with some requirements. However, they lack explicit mention of full-stack skills (e.g., Angular, HTML/CSS), required frameworks (Spring/Symfony), and NoSQL databases (MongoDB). The AI/NLP focus is irrelevant to this role, and the partial match on core tech stack warrants a mid-range score.",33.0,3.0,B
