job_idx,cv_col,label,score,label_checked,justification,model,generated_at
0,cv_1,Good Fit,82,Good Fit,"Le candidat a une solide expérience dans l'analyse de données et la création de dashboards avec Power BI, ainsi que des compétences en Python et SQL. Cependant, il manque d'expérience dans certains outils spécifiques demandés, tels que PyTorch et Scikit-learn.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:34.250123
0,cv_2,Poor Match,20,Poor Match,"Le candidat n'a pas les compétences techniques requises pour le poste de Data Scientist, notamment en Python, SQL, IA, Data Science, PyTorch, Scikit-learn, Pandas, NumPy, Grafana, Tableau, PowerBI, Kafka, PostgreSQL, PL/SQL, Oracle, Excel. De plus, son expérience est principalement dans le développement full-stack et non dans la Data Science.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:38.717212
0,cv_3,Poor Match,20,Poor Match,"The candidate's background is in cloud engineering and software development, with no direct experience in Data Science or AI. Although they have a strong technical skillset, it does not align with the requirements of the job posting.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:42.036716
0,cv_4,Poor Match,20,Poor Match,"The candidate's background is mainly in frontend development and software QA, with no direct experience in Data Science or AI. Although they have some technical skills, they lack the required expertise in Python, SQL, and AI-related tools.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:45.095550
0,cv_5,Strong Match,92,Strong Match,"Le candidat possède une excellente maîtrise des compétences techniques requises, notamment en Deep Learning et Machine Learning, et a une expérience pertinente dans le domaine de la Data Science et de l'IA. De plus, son expérience en tant qu'ingénieur en apprentissage automatique et ses compétences en résolution de problèmes et en travail d'équipe sont très valorisées pour ce poste.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:50.492212
1,cv_1,Strong Match,92,Strong Match,"The candidate has a strong background in machine learning and deep learning, with relevant industry experience and a solid understanding of the required technical skills, including Python, TensorFlow, and PyTorch. The candidate's experience in developing machine learning and deep learning algorithms, as well as their interest in Natural Language Processing and Biomedical AI, aligns well with the job requirements.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:22:54.728009
1,cv_2,Moderate Match,60,Moderate Match,"Le candidat a une expérience pertinente en tant qu'ingénieur en apprentissage automatique et a des compétences techniques en matière de langages de programmation, notamment Python, ainsi que des connaissances en matière de traitement du langage naturel. Cependant, il manque d'expérience directe avec les technologies spécifiques mentionnées dans l'offre d'emploi, telles que TensorFlow et PyTorch.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:23:00.305226
1,cv_3,Good Fit,82,Good Fit,"The candidate has a strong background in machine learning and data engineering, with experience in developing and deploying models, and a good understanding of deep learning architectures. However, the candidate's experience with the specific stack required by the job (Python, TensorFlow, PyTorch, etc.) is not explicitly mentioned in the CV.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:23:05.192054
1,cv_4,Poor Match,20,Poor Match,"The candidate's background is in full-stack development with a focus on React, Node.js, and TypeScript, but lacks experience in machine learning and deep learning. The candidate's skills do not align with the required technical stack of Python, TensorFlow, PyTorch, and Scikit-learn.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:23:08.801442
1,cv_5,Poor Match,20,Poor Match,"The candidate's background is primarily in mobile and web development, with no direct experience in machine learning or deep learning. The candidate's skills and experience do not align with the requirements of the Machine Learning Engineer position.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:23:11.839691
2,cv_1,Good Fit,72,Good Fit,"Le candidat a une solide expérience dans le développement web et a travaillé avec des technologies telles que Angular, React et Express, qui sont pertinentes pour le poste. Cependant, il manque d'expérience avec certaines technologies spécifiques mentionnées dans l'offre d'emploi, comme PHP, Java et Spring.",meta-llama/Meta-Llama-3-70B-Instruct,2026-05-05T06:23:17.447676
