job_idx,cv_col,score_a,score_b,judge_score,reasoning,delta_a,delta_b,closer_system
0,cv_1,82,41,58,"The candidate has solid experience with Python, SQL, data pipelines, and dashboard creation, matching many data engineering aspects of the role. However, there is no evidence of machine‑learning model development or familiarity with PyTorch/Scikit‑learn, which are core to the AI focus, resulting in a partial rather than full match.",24.0,17.0,B
0,cv_2,20,32,15,"The candidate's experience is focused on full‑stack web development with Angular, React, NextJS and PHP, and does not demonstrate Python, SQL, or machine‑learning expertise required for the data science role. Consequently, key requirements such as PyTorch, Scikit‑learn, Pandas, NumPy, and AI pipeline development are missing.",5.0,17.0,A
0,cv_3,20,27,15,"The candidate's background is focused on cloud engineering, DevOps, and infrastructure virtualization with no evidence of Python, SQL, or machine‑learning tools such as PyTorch, Scikit‑learn, Pandas, or NumPy. Consequently, the profile does not meet the core data‑science and AI requirements of the job.",5.0,12.0,A
0,cv_4,20,28,12,"The candidate's experience is focused on front‑end development with React/Node.js and lacks any mention of Python, SQL, data pipelines, or machine‑learning frameworks required for the data science role. Consequently, the fit with the job requirements is very low.",8.0,16.0,A
0,cv_5,92,28,58,"The candidate has solid machine learning and deep learning experience, likely using Python and frameworks such as PyTorch, which aligns with core technical requirements. However, the CV lacks evidence of SQL proficiency, data pipeline construction, dashboard creation, and business stakeholder collaboration, resulting in a partial rather than full match.",34.0,30.0,B
1,cv_1,92,37,78,"The candidate has solid ML experience (3+ years), deep learning knowledge, and relevant Python and DevOps skills, aligning well with many job requirements. However, the CV lacks explicit mention of TensorFlow, Pandas/NumPy/Scikit-learn usage and model monitoring experience, preventing a perfect match.",14.0,41.0,A
1,cv_2,60,34,42,"The candidate has recent ML experience and some cloud/NLP certifications, but the CV lacks explicit mention of deep learning frameworks (TensorFlow/PyTorch) and core data‑science libraries (Pandas, NumPy, Scikit‑learn) required by the job. Experience length and deployment/monitoring skills are also not demonstrated, leading to a partial match.",18.0,8.0,B
1,cv_3,80,34,58,"The candidate has solid deep‑learning experience (image segmentation, tensor transformations) and a data‑engineering background, but the CV lacks explicit mention of the required frameworks (TensorFlow, PyTorch, Pandas, NumPy, Scikit‑learn) and deployment/monitoring responsibilities. Hence a partial but not strong match.",22.0,24.0,A
1,cv_4,20,37,12,"The candidate's background is focused on full‑stack web development with the MERN stack and TypeScript, showing no evidence of machine learning experience, Python, or deep‑learning frameworks required by the job. Consequently, the fit for the ML Engineer role is very low.",8.0,25.0,A
1,cv_5,20,35,10,"The candidate's background is focused on mobile and web development with technologies like JavaScript, Angular, and .NET, and shows no experience with Python, deep learning frameworks, or data pipelines required for the ML Engineer role. Consequently, the fit with the job's core requirements is minimal.",10.0,25.0,A
2,cv_1,72,34,48,"The candidate has solid front‑end experience with Angular and some mobile work via Flutter, matching parts of the full‑stack and mobile requirements. However, key required technologies such as PHP, Java, Python, Spring, Symfony, MySQL and MongoDB are absent, limiting the overall fit.",24.0,14.0,B
