job_idx,cv_col,source,model,label,score,label_checked,justification,generated_at
0,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"The candidate's CV demonstrates a strong alignment with the job description, showcasing extensive experience with data analysis tools and techniques like Python, SQL, Power BI, and Azure Data Factory – all explicitly mentioned as required skills. Furthermore, their background in financial analysis and reporting, combined with their proactive approach to automation and dashboard creation, directly addresses the need for a data scientist capable of delivering actionable insights and supporting decision-making.",2026-05-06T20:51:08.909359
0,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's background is primarily in full-stack development with NextJS, ReactJS, and PHP, lacking direct experience in Data Science and AI tools like PyTorch, Scikit-learn, and Pandas as heavily emphasized in the job description. While they have experience with data visualization tools like Power BI, the role requires a deeper expertise in data science methodologies and specific AI frameworks.",2026-05-06T20:51:12.208910
0,cv_3,ollama,gemma3:4b,Good Fit,78,Good Fit,"Le candidat possède une solide expérience en administration d'environnements virtualisés et en DevOps, ce qui correspond aux compétences techniques recherchées dans l'offre d'emploi. Bien que son expérience principale soit axée sur le cloud et la virtualisation, il mentionne également la maîtrise de Python et des technologies cloud natives comme Docker et Kubernetes, démontrant une volonté d'apprentissage et une capacité à s'adapter aux besoins de l'entreprise.",2026-05-06T20:51:16.250752
0,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Hector's background is primarily in frontend development with React and Node.js, showcasing strong technical skills in JavaScript and related technologies. While he possesses some relevant experience with Agile methodologies and testing frameworks, the job description heavily emphasizes data science tools like PyTorch, Scikit-learn, and SQL, areas where Hector's experience is limited.",2026-05-06T20:51:19.641396
0,cv_5,ollama,gemma3:4b,Strong Match,88,Strong Match,"The candidate's experience as a Machine Learning Engineer at InstaDeep, coupled with their internship projects focused on Deep Learning and Geometric Deep Learning, directly aligns with the requirements of the Data Science role. Their skills in Python, Deep Learning frameworks (PyTorch), and relevant tools (TensorFlow, Pandas, NumPy) strongly match the desired technical expertise outlined in the job description.",2026-05-06T20:51:22.769328
1,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Le candidat possède une expérience significative (3+ ans) en tant qu'ingénieur en IA, avec une spécialisation dans les LLM et les réseaux de neurones, ce qui correspond directement aux besoins de l'offre. De plus, son parcours académique en informatique et ses certifications démontrent une base solide en machine learning et deep learning, ainsi que des compétences en DevOps, ce qui est essentiel pour le poste.",2026-05-06T20:51:26.002558
1,cv_2,ollama,gemma3:4b,Good Fit,75,Good Fit,"Somnath possède une expérience récente en tant que Machine Learning Engineer chez TCS, ce qui correspond aux exigences de l'offre. De plus, ses certifications et son expérience dans des domaines tels que le NLP et les réseaux de neurones, ainsi que son parcours académique en informatique, sont pertinentes pour le poste.",2026-05-06T20:51:28.922308
1,cv_3,ollama,gemma3:4b,Good Fit,75,Good Fit,"Ines possède une expérience significative en data science et machine learning, notamment avec des projets impliquant des modèles de deep learning et des pipelines de données, ce qui correspond aux exigences de l'offre. Bien que son expérience principale soit axée sur le freelance et des projets spécifiques, ses compétences en Python, TensorFlow/PyTorch et ses réalisations démontrent un potentiel fort pour ce rôle.",2026-05-06T20:51:32.382164
1,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's experience is primarily in full-stack web development with the MERN stack, utilizing React, Node.js, and MongoDB, which differs from the job's focus on deep learning and TensorFlow/PyTorch. While they demonstrate strong software engineering skills and a collaborative mindset, the lack of direct experience with machine learning algorithms and deep learning architectures is a significant gap, making this a moderate match.",2026-05-06T20:51:35.717609
1,cv_5,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's extensive experience in web development, particularly with JavaScript frameworks like Angular and React, aligns with the use of Python and related libraries in the role. However, their background is primarily in front-end development and mobile applications, lacking the deep machine learning expertise and experience with deep learning architectures specifically required for this ML Engineer position.",2026-05-06T20:51:38.825181
2,cv_1,ollama,gemma3:4b,Good Fit,75,Good Fit,"Safa Chaabane possède une expérience significative en développement web, notamment avec Angular, React et des frameworks modernes, ce qui correspond aux technologies mentionnées dans l'offre. Son portfolio et son expérience professionnelle démontrent une capacité à résoudre des problèmes et à travailler en équipe, bien que son expérience avec des technologies comme Java et Spring soit moins prononcée.",2026-05-06T20:51:41.972607
2,cv_2,ollama,gemma3:4b,Good Fit,78,Good Fit,"Ahmed's experience with Go, Kubernetes, Docker, and Prometheus aligns well with the Sofrecom Tunisie's requirements for a full-stack developer, particularly in building scalable and cloud-native systems. While his primary focus is on backend development with Golang, his demonstrated skills in DevOps practices and microservices architecture make him a strong candidate for this role.",2026-05-06T20:51:45.811537
2,cv_3,ollama,gemma3:4b,Strong Match,88,Strong Match,"Achraf's CV demonstrates a strong alignment with the Sofrecom Tunisie job description, particularly his extensive experience with Python, Django, FastAPI, and AI technologies like NLP and LLMs. His projects involving generative AI, data extraction, and API development directly address the requirements outlined in the offer, showcasing a full-stack skillset and a proactive approach to problem-solving.",2026-05-06T20:51:49.359419
2,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"While Mohamed possesses strong AI and machine learning skills, the Sofrecom Tunisia job description emphasizes full-stack development with technologies like PHP, Spring, and Angular, which are not prominently featured in his CV. Although he has a computer science background, his experience is heavily focused on AI research and development, lacking the direct application of traditional web development skills required for this role.",2026-05-06T20:51:52.680481
2,cv_5,ollama,gemma3:4b,Good Fit,75,Good Fit,"Heni Loukil possède une expérience significative en Machine Learning et Deep Learning, ce qui correspond aux compétences recherchées pour l'amélioration des performances et de la sécurité des applications. Bien que son expérience ne soit pas directement dans le développement full-stack, son expertise en géométrie, réseaux et deep learning, combinée à ses connaissances en outils DevOps, suggère un potentiel d'adaptation et d'apprentissage rapide.",2026-05-06T20:51:55.939839
3,cv_2,ollama,gemma3:4b,Strong Match,88,Strong Match,"The candidate's experience in building scalable backend systems, particularly with Azure and Go, aligns perfectly with the AI Engineer role's focus on robust and scalable AI systems. Their demonstrated ability to automate ETL pipelines and optimize GPU workloads directly addresses the need for expertise in MLOps and cloud infrastructure, as highlighted in the job description.",2026-05-06T20:52:10.899436
3,cv_3,ollama,gemma3:4b,Weak Match,35,Weak Match,"Le CV du candidat met l'accent sur le développement full-stack avec Next.js, React, et Spring Boot, ce qui ne correspond pas aux technologies spécifiques mentionnées dans l'offre d'emploi (FastAPI, TensorFlow, PyTorch). De plus, l'expérience professionnelle est très courte et ne démontre pas une expertise approfondie en IA ou en machine learning.",2026-05-06T20:52:14.566478
3,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's experience primarily focuses on full-stack development with React, Symfony, and Flutter, which doesn't directly align with the AI Engineer role's emphasis on machine learning and data pipelines. While they possess some relevant technologies like JavaScript and Python, the depth of experience in AI frameworks and data engineering is lacking, suggesting a moderate fit.",2026-05-06T20:52:17.582511
3,cv_5,ollama,gemma3:4b,Weak Match,40,Weak Match,"Bien que le candidat possède une expérience en développement full-stack et une formation en informatique, son CV ne mentionne pas d'expérience directe avec les frameworks et technologies spécifiques (FastAPI, TensorFlow, PyTorch) recherchés dans l'offre d'emploi, ce qui constitue un manque crucial.",2026-05-06T20:52:20.440396
4,cv_1,ollama,gemma3:4b,Good Fit,88,Strong Match,"Amadou possède une solide expérience en administration d'environnements virtualisés, ce qui correspond aux exigences de l'offre d'emploi. De plus, son expertise dans les outils DevOps tels que Terraform, Ansible et les pipelines CI/CD avec GitLab CI, Jenkins et GitHub Actions, ainsi que sa connaissance de Kubernetes et des technologies cloud native, alignent bien avec les technologies mentionnées dans l'offre d'emploi.",2026-05-06T20:52:24.085310
4,cv_2,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's extensive experience with Java, Spring Boot, and Angular aligns well with the technologies listed in the job description. Their background in full-stack development and DevOps practices, particularly with CI/CD and security, demonstrates a strong understanding of the required skills for this Cloud & DevOps role.",2026-05-06T20:52:27.637520
4,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"While Wael possesses a strong analytical background with data science certifications and experience in BI and consulting, his skills heavily lean towards traditional data analysis and reporting rather than the specific technologies and DevOps practices outlined in the job description (Azure, DevSecOps, .Net). His experience with SQL, Excel, and PowerBI aligns with some aspects, but lacks the core cloud and DevOps expertise required for this role.",2026-05-06T20:52:31.874050
4,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's skills heavily focus on the MERN stack and frontend technologies, which are not the primary focus of the job description. While they have experience with some DevOps tools like Docker and AWS, the role emphasizes Azure, DevSecOps, and Microsoft technologies, indicating a significant skills gap. However, their experience in full-stack development and leadership roles could be valuable, suggesting potential for growth and learning within the role.",2026-05-06T20:52:35.558704
4,cv_5,ollama,gemma3:4b,Good Fit,75,Good Fit,"Heni Loukil's experience as a Machine Learning Engineer at InstaDeep demonstrates a strong understanding of deep learning and geometric deep learning, aligning with the use of these technologies mentioned in the job description. While the role focuses on cloud and DevOps, her background in machine learning and data analysis provides a valuable skillset applicable to the overall goals of the position.",2026-05-06T20:52:38.617431
5,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Anas's CV demonstrates a strong alignment with the job description, showcasing over 5 years of experience in data analysis, visualization, and pipeline management using tools like Power BI, Python, and SQL – all key requirements. His experience at EY and Timsoft Group, specifically designing and automating data solutions, directly addresses the responsibilities outlined in the job posting.",2026-05-06T20:52:42.550766
5,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"While Brendan possesses strong software engineering skills and experience with front-end development and some tools like Laravel and PHP, the job description specifically requires a Data Analyst with expertise in data visualization, SQL, Python, and experience with BI tools like Power BI, Qlik Sense, and Looker. His background is primarily in software development rather than data analysis, and the listed skills don't align strongly with the core requirements of the role.",2026-05-06T20:52:46.481771
5,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate possesses a strong technical background with Java, Spring, and Angular experience, aligning with some of the required skills. However, the CV lacks direct experience with the specific visualization tools (Power BI, Qlik Sense, Looker) and SQL mentioned in the job description, and the focus is primarily on backend development rather than data analysis and visualization.",2026-05-06T20:52:49.863561
5,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Le candidat possède une expérience significative en développement logiciel avec .NET et Angular, ce qui est pertinent pour la gestion de pipelines de données. Cependant, son expérience est principalement axée sur le développement et ne met pas suffisamment en avant les compétences spécifiques recherchées dans l'analyse de données, la visualisation et la manipulation de données complexes, ainsi que la maîtrise des outils de BI mentionnés.",2026-05-06T20:52:53.290853
5,cv_5,ollama,gemma3:4b,Good Fit,75,Good Fit,"Heni Loukil possède une expérience significative en Machine Learning et Deep Learning, ce qui correspond à l'utilisation de ces technologies dans l'analyse de données. Bien que son expérience ne soit pas directement dans la visualisation de données avec Power BI ou Qlik Sense, ses compétences en Python et sa thèse axée sur l'analyse géométrique et l'extraction de caractéristiques sont pertinentes pour le rôle.",2026-05-06T20:52:57.069197
6,cv_1,ollama,gemma3:4b,Good Fit,82,Good Fit,"Anas's experience with Power BI, Python (Pandas), SQL, and Azure Data Factory aligns well with the job description's tech stack. His background in data analysis, reporting, and data pipeline development demonstrates a strong understanding of the required skills and the company's focus on data-driven decision-making.",2026-05-06T20:53:00.484989
6,cv_2,ollama,gemma3:4b,Strong Match,88,Strong Match,"Hadrien's extensive experience as a Senior Software Engineer, particularly his recent work with RAG architectures and LLM integrations, directly aligns with the data science role's requirements for data manipulation, model development, and working with cutting-edge technologies like vector embeddings and semantic search. His background in full-stack development and AI automation further strengthens his suitability for this position.",2026-05-06T20:53:05.034719
6,cv_3,ollama,gemma3:4b,Strong Match,88,Strong Match,"Mohamed Malek Jarraya's experience as a Senior Data Scientist and Machine Learning Engineer aligns perfectly with the job description's requirements, particularly his focus on machine learning, data analysis, and delivering impactful AI solutions. His background in quantitative research and experience with Python, SQL, and relevant libraries makes him a strong candidate for this role.",2026-05-06T20:53:08.209792
6,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Raihane possède une solide expérience en DevOps, cloud et sécurité, ainsi que des certifications pertinentes telles que CKA, CKAD et AWS Certified Machine Learning, ce qui est un atout. Cependant, son CV ne met pas suffisamment en avant les compétences spécifiques en Data Science, en particulier en Machine Learning, Data Manipulation et Web Scraping, qui sont explicitement demandées dans l'offre d'emploi.",2026-05-06T20:53:12.145572
6,cv_5,ollama,gemma3:4b,Strong Match,88,Strong Match,"Heni Loukil's experience as a Machine Learning Engineer at InstaDeep, coupled with her Master's degree in Computer Science and her project focused on Deep Learning and Geometric Deep Learning aligns perfectly with the requirements of the Data Scientist role. Her skills in Python, Machine Learning, and Deep Learning, alongside her demonstrated ability to develop and implement advanced models, make her a strong candidate for this position.",2026-05-06T20:53:15.408420
7,cv_1,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"While Akrem possesses a relevant degree in Computer Science and demonstrates experience with Python and machine learning, the job description heavily emphasizes Bayesian modeling, time series forecasting, and specific tools like ArviZ and Stan, which are not prominently highlighted in his CV. His focus on fintech and RPA suggests a different skillset than the energy industry's needs.",2026-05-06T20:53:18.352009
7,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Le candidat possède une expérience en analyse de données avec Python et Power BI, ce qui correspond à certains aspects de l'offre, mais manque d'expertise spécifique en machine learning, modélisation bayésienne et prévision de séries temporelles, qui sont des éléments clés du poste. Bien que les compétences en SQL et R soient présentes, l'expérience est limitée et ne correspond pas à l'étendue du stack technique requis.",2026-05-06T20:53:21.586341
7,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Le candidat possède des certifications pertinentes en IA et Agile, ainsi que de l'expérience dans le domaine de la finance et de l'analyse de données, ce qui est un atout. Cependant, son CV ne met pas suffisamment en avant l'expertise spécifique en machine learning, en modélisation bayésienne et en prévision de séries temporelles, qui sont des éléments clés de l'offre d'emploi.",2026-05-06T20:53:25.384774
7,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Wassim's background is primarily in network engineering and security, with experience in Aruba ClearPass and related technologies. While he possesses some relevant skills like Python and monitoring tools, the job description explicitly requires expertise in machine learning, Bayesian modeling, and a strong foundation in statistics – areas where Wassim's experience is limited. The skills listed in the CV don't directly align with the required stack and the core responsibilities of a Data Scientist.",2026-05-06T20:53:29.692903
7,cv_5,ollama,gemma3:4b,Weak Match,25,Poor Match,"While the candidate possesses front-end development skills with technologies like React, Redux, and PHP, the job description emphasizes machine learning, Bayesian modeling, and a specific Python stack (ArviZ, Stan). The candidate's experience is primarily in web development, lacking the core data science expertise required for this role.",2026-05-06T20:53:33.119279
8,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Dhia's CV demonstrates a strong alignment with the job description, showcasing extensive experience with machine learning, deep learning, and data engineering tools like Python, TensorFlow, and Elasticsearch – all explicitly mentioned in the offer. Her previous roles at DATAMOTOR and Target Energy Solutions involved developing and deploying predictive models and managing data pipelines, directly addressing the core responsibilities outlined in the job description.",2026-05-06T20:53:36.853418
8,cv_4,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's extensive experience in immersive technologies, XR development, and 3D modeling aligns well with the job description's requirements for a Data Scientist and Analytics Engineer. Their diverse projects utilizing tools like Unity, Unreal Engine, and AI models demonstrate a strong foundation in the technologies listed, alongside a creative and technically adept approach.",2026-05-06T20:54:04.255504
8,cv_5,ollama,gemma3:4b,Weak Match,35,Weak Match,"Le CV du candidat met en avant une expérience significative en développement full-stack, principalement avec React.js et Elasticsearch, ce qui ne correspond pas aux compétences spécifiques recherchées pour un Data Scientist et Ingénieur en Analytics, notamment en machine learning et deep learning. Bien que le candidat possède une formation en informatique, il manque l'expertise directe en science des données et les outils techniques mentionnés dans l'offre d'emploi.",2026-05-06T20:54:07.929590
9,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Anas's extensive experience as a Data Analyst, particularly with Power BI, Python, SQL, and Azure Data Factory aligns perfectly with the requirements of the Data Science internship. His background in financial analysis and data modeling, combined with his demonstrated skills in data mining and visualization, makes him a strong candidate for this role.",2026-05-06T20:54:11.674458
9,cv_2,ollama,gemma3:4b,Strong Match,88,Strong Match,"Jawher Jabri possède une expérience significative en recherche d'IA, notamment chez InstaDeep, ce qui correspond directement aux missions proposées. De plus, son diplôme en Big Data et Intelligence Artificielle, combiné à ses compétences en Python, R et NLP, le positionne idéalement pour réussir dans ce poste de stagiaire Data Science.",2026-05-06T20:54:14.794866
9,cv_3,ollama,gemma3:4b,Weak Match,35,Weak Match,"Bien que le candidat possède des compétences en programmation et une expérience en développement web, l'offre d'emploi cible spécifiquement un étudiant en Master d'Économétrie et Statistique Appliquée avec une forte orientation Data Science, incluant l'utilisation de Python, R et des concepts de machine learning. L'expérience du candidat est principalement axée sur le développement Full Stack SAP, ce qui ne correspond pas aux compétences recherchées.",2026-05-06T20:54:18.362263
9,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's background is primarily in full-stack Java development, with experience in backend systems and microservices, which doesn't directly align with the stated requirements of a Data Science internship focused on econometrics and statistical modeling. While they possess some technical skills like SQL and Git, the CV lacks the specific statistical and data analysis skills (Python, R, econometrics) highlighted in the job description.",2026-05-06T20:54:22.393746
9,cv_5,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's background is primarily in network engineering and security, with extensive experience troubleshooting and configuring network devices, which doesn't directly align with the data science role's focus on Python, R, and statistical modeling. While they have some experience with scripting (Python/Ansible) and a degree in computer science, the specific skills listed in the job description (machine learning, econometrics) are not prominently featured in their CV.",2026-05-06T20:54:26.631958
10,cv_1,ollama,gemma3:4b,Good Fit,78,Good Fit,"Anas's experience in data analysis, particularly with Power BI, Azure Data Factory, and Python, aligns well with the technical stack mentioned in the job description. His background in reporting and data modeling, combined with his demonstrated ability to build data pipelines and dashboards, suggests he could successfully contribute to the company's data-driven decision-making process.",2026-05-06T20:54:30.116100
10,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Le candidat possède une formation en informatique et une expérience en recherche en IA, ce qui correspond à certains aspects de l'offre, mais son expérience est principalement axée sur la vision par ordinateur et les GANs, et ne couvre pas explicitement l'économétrie et la statistique appliquée comme demandé. Bien que les compétences en Python soient présentes, l'offre met l'accent sur l'utilisation de SAS et des outils d'économétrie.",2026-05-06T20:54:33.621925
