row_idx,job_snippet,score_cv_1,score_cv_2,score_cv_3,score_cv_4,score_cv_5,label_cv_1,label_cv_2,label_cv_3,label_cv_4,label_cv_5,predicted_best_cv,predicted_label,scores,labels
0,votre prochain défi professionnel se trouve dans un poste stratégique en data sc,0.9782847603561938,0.9474031701963521,0.9615756472322141,0.8963081199701103,0.9444958750277678,data analyst,full stack engineer,cloud engineer,frontend,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9782847603561938, 'cv_2': 0.9474031701963521, 'cv_3': 0.9615756472322141, 'cv_4': 0.8963081199701103, 'cv_5': 0.9444958750277678}","{'cv_1': 'data analyst', 'cv_2': 'full stack engineer', 'cv_3': 'cloud engineer', 'cv_4': 'frontend', 'cv_5': 'machine learning engineer'}"
1,mission passionnante pour un machine learning engineer chez une entreprise de te,0.9669990379791985,0.9352458349906749,0.9617567983485029,0.8985491806053265,0.8877970542293256,ai engineer,senior research scientist engineer,machine learning engineer,software(full stack),backend engineer,cv_1,ai engineer,"{'cv_1': 0.9669990379791985, 'cv_2': 0.9352458349906749, 'cv_3': 0.9617567983485029, 'cv_4': 0.8985491806053265, 'cv_5': 0.8877970542293256}","{'cv_1': 'ai engineer', 'cv_2': 'senior research scientist engineer', 'cv_3': 'machine learning engineer', 'cv_4': 'software(full stack)', 'cv_5': 'backend engineer'}"
2,mission passionnante pour un développeur full-stack expérimenté chez sofrecom tu,0.8759165487117362,0.946447524749472,0.9698490018035674,0.9068882897275319,0.9059744501150913,software(full stack),site reliability engineer,backend engineer,machine learning engineer,machine learning engineer,cv_3,backend engineer,"{'cv_1': 0.8759165487117362, 'cv_2': 0.946447524749472, 'cv_3': 0.9698490018035674, 'cv_4': 0.9068882897275319, 'cv_5': 0.9059744501150913}","{'cv_1': 'software(full stack)', 'cv_2': 'site reliability engineer', 'cv_3': 'backend engineer', 'cv_4': 'machine learning engineer', 'cv_5': 'machine learning engineer'}"
3,mission passionnante pour un ai engineer expérimenté pour rejoindre notre équipe,0.9679823084298533,0.9603242793029516,0.8801620655307691,0.9600207803561042,0.8773301570143076,full stack engineer,backend engineer,full stack engineer,full stack engineer,full stack engineer,cv_1,full stack engineer,"{'cv_1': 0.9679823084298533, 'cv_2': 0.9603242793029516, 'cv_3': 0.8801620655307691, 'cv_4': 0.9600207803561042, 'cv_5': 0.8773301570143076}","{'cv_1': 'full stack engineer', 'cv_2': 'backend engineer', 'cv_3': 'full stack engineer', 'cv_4': 'full stack engineer', 'cv_5': 'full stack engineer'}"
4,mission passionnante pour un ingénieur cloud & devops chez un éditeur de logicie,0.9462730914263406,0.9096112237331864,0.9049219237423747,0.894087797799537,0.8821950322845149,cloud engineer,full stack engineer,data analyst,software(full stack),machine learning engineer,cv_1,cloud engineer,"{'cv_1': 0.9462730914263406, 'cv_2': 0.9096112237331864, 'cv_3': 0.9049219237423747, 'cv_4': 0.894087797799537, 'cv_5': 0.8821950322845149}","{'cv_1': 'cloud engineer', 'cv_2': 'full stack engineer', 'cv_3': 'data analyst', 'cv_4': 'software(full stack)', 'cv_5': 'machine learning engineer'}"
5,mission passionnante pour un data analyst expérimenté chez un acteur majeur de l,0.9846958890540799,0.941509154187292,0.9683154110809472,0.9642008642431923,0.9378830056294483,data analyst,full stack engineer,backend engineer,full stack engineer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9846958890540799, 'cv_2': 0.941509154187292, 'cv_3': 0.9683154110809472, 'cv_4': 0.9642008642431923, 'cv_5': 0.9378830056294483}","{'cv_1': 'data analyst', 'cv_2': 'full stack engineer', 'cv_3': 'backend engineer', 'cv_4': 'full stack engineer', 'cv_5': 'machine learning engineer'}"
6,mission passionnante pour un data scientist chez notre entreprise. nous recherch,0.9689396349318811,0.9493514433983713,0.9671287051916071,0.9171156755635046,0.9708624770905664,data analyst,dev ai,machine learning engineer,cloud &devops engineer,machine learning engineer,cv_5,machine learning engineer,"{'cv_1': 0.9689396349318811, 'cv_2': 0.9493514433983713, 'cv_3': 0.9671287051916071, 'cv_4': 0.9171156755635046, 'cv_5': 0.9708624770905664}","{'cv_1': 'data analyst', 'cv_2': 'dev ai', 'cv_3': 'machine learning engineer', 'cv_4': 'cloud &devops engineer', 'cv_5': 'machine learning engineer'}"
7,votre prochain défi professionnel est chez notre entreprise en tant que data sci,0.9643209289614032,0.9851285110435216,0.9699414946804785,0.9290468128581124,0.9153066748010306,data science,data analyst,data analyst,ntework engineer,full stack engineer,cv_2,data analyst,"{'cv_1': 0.9643209289614032, 'cv_2': 0.9851285110435216, 'cv_3': 0.9699414946804785, 'cv_4': 0.9290468128581124, 'cv_5': 0.9153066748010306}","{'cv_1': 'data science', 'cv_2': 'data analyst', 'cv_3': 'data analyst', 'cv_4': 'ntework engineer', 'cv_5': 'full stack engineer'}"
8,votre prochain défi professionnel se trouve dans un environnement où la science ,0.9877243706183361,0.9424971463333167,0.9424971463333167,0.9246712856914541,0.827726020627375,machine learning engineer,full stack engineer,full stack engineer,reality solution designer,full stack engineer,cv_1,machine learning engineer,"{'cv_1': 0.9877243706183361, 'cv_2': 0.9424971463333167, 'cv_3': 0.9424971463333167, 'cv_4': 0.9246712856914541, 'cv_5': 0.827726020627375}","{'cv_1': 'machine learning engineer', 'cv_2': 'full stack engineer', 'cv_3': 'full stack engineer', 'cv_4': 'reality solution designer', 'cv_5': 'full stack engineer'}"
9,mission passionnante pour un étudiant en master d'économétrie et statistique app,0.9759210812052457,0.9379020487755731,0.8986369974812145,0.9575147234674041,0.9486660648663924,data analyst,senior research scientist engineer,full stack engineer,backend engineer,network engineer,cv_1,data analyst,"{'cv_1': 0.9759210812052457, 'cv_2': 0.9379020487755731, 'cv_3': 0.8986369974812145, 'cv_4': 0.9575147234674041, 'cv_5': 0.9486660648663924}","{'cv_1': 'data analyst', 'cv_2': 'senior research scientist engineer', 'cv_3': 'full stack engineer', 'cv_4': 'backend engineer', 'cv_5': 'network engineer'}"
